priorytet;rodzina;model_podpis;liczba_rekordow;status;kandydaci_id_model;proponowany_id_model;brakujace_pola_modelu;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_uzytkownika;uwagi_uzytkownika
NISKI;RICOH;MP 5500;6;jednoznaczny_niepelny;365(3/4);365;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=365 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 365: PLIK;;
NISKI;CANON;3520I;5;jednoznaczny_niepelny;12(3/4);12;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=12 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 12: PLIK;;
NISKI;CANON;6512;5;jednoznaczny_niepelny;16(3/4);16;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=16 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 16: PLIK;;
NISKI;KONICA MINOLTA;C 224E;5;decyzja_duplikat;248(3/4) | 549(3/4);;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;KONICA MINOLTA;INEO+ 224E;5;jednoznaczny_niepelny;72(3/4);72;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=72 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 72: PLIK;;
NISKI;KYOCERA;2507ci;5;jednoznaczny_niepelny;519(3/4);519;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=519 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 519: PLIK;;
NISKI;RICOH;1018;5;jednoznaczny_niepelny;425(3/4);425;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=425 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 425: PLIK;;
NISKI;RICOH;1505 / 1315;5;jednoznaczny_niepelny;301(3/4);301;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=301 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 301: PLIK;;
NISKI;RICOH;DSM 745;5;jednoznaczny_niepelny;333(3/4);333;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=333 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 333: PLIK;;
NISKI;RICOH;IM 2500;5;decyzja_duplikat;455(3/4) | 574(3/4);;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 5001;5;jednoznaczny_niepelny;364(3/4);364;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=364 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 364: PLIK;;
NISKI;TRIUMPH-ADLER;4030;5;jednoznaczny_niepelny;513(3/4);513;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=513 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 513: PLIK;;
NISKI;CANON;IR 3035;4;jednoznaczny_niepelny;37(3/4);37;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=37 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 37: PLIK;;
NISKI;HP;HP Designjet T650;4;jednoznaczny_niepelny;155(2/4);155;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=155 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 155: KOLOR, PLIK;;
NISKI;KONICA MINOLTA;162;4;jednoznaczny_niepelny;233(3/4);233;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=233 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 233: PLIK;;
NISKI;KONICA MINOLTA;C 203;4;jednoznaczny_niepelny;245(3/4);245;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=245 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 245: PLIK;;
NISKI;KONICA MINOLTA;INEO 220;4;jednoznaczny_niepelny;70(3/4);70;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=70 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 70: PLIK;;
NISKI;KYOCERA;P 6235C;4;jednoznaczny_niepelny;282(3/4);282;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=282 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 282: PLIK;;
NISKI;KYOCERA;P-5532;4;jednoznaczny_niepelny;525(3/4);525;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=525 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 525: PLIK;;
NISKI;RICOH;1515;4;jednoznaczny_niepelny;427(3/4);427;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=427 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 427: PLIK;;
NISKI;RICOH;DSC 328;4;jednoznaczny_niepelny;314(3/4);314;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=314 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 314: PLIK;;
NISKI;RICOH;DSC 424;4;jednoznaczny_niepelny;316(3/4);316;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=316 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 316: PLIK;;
NISKI;RICOH;DSC 435;4;jednoznaczny_niepelny;317(3/4);317;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=317 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 317: PLIK;;
NISKI;RICOH;IMC 2000;4;decyzja_duplikat;461(3/4) | 579(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 1600;4;jednoznaczny_niepelny;337(2/4);337;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=337 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 337: KOLOR, PLIK;;
NISKI;RICOH;MP 6002;4;jednoznaczny_niepelny;367(3/4);367;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=367 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 367: PLIK;;
NISKI;RICOH;Ricoh IM 350;4;jednoznaczny_niepelny;632(3/4);632;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=632 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 632: RODZAJ;;
NISKI;CANON;IR 1024IF;3;jednoznaczny_niepelny;27(3/4);27;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=27 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 27: PLIK;;
NISKI;CANON;IR 2200;3;jednoznaczny_niepelny;31(3/4);31;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=31 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 31: PLIK;;
NISKI;CANON;IR 6555I;3;jednoznaczny_niepelny;42(3/4);42;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=42 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 42: PLIK;;
NISKI;CANON;IR ADVANCE 4225I;3;jednoznaczny_niepelny;45(3/4);45;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=45 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 45: PLIK;;
NISKI;CANON;imagePROGRAF TM-300;3;jednoznaczny_niepelny;63(2/4);63;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=63 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 63: KOLOR, PLIK;;
NISKI;EPSON;EPSONSC-T 5100;3;jednoznaczny_niepelny;84(2/4);84;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=84 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 84: KOLOR, PLIK;;
NISKI;EPSON;WF-C5790DWF;3;jednoznaczny_niepelny;93(3/4);93;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=93 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 93: PLIK;;
NISKI;HP;DesignJet T650;3;jednoznaczny_niepelny;151(2/4);151;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=151 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 151: KOLOR, PLIK;;
NISKI;HP;HP Designjet 510;3;jednoznaczny_niepelny;153(2/4);153;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=153 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 153: KOLOR, PLIK;;
NISKI;KONICA MINOLTA;BIZHUB 223;3;jednoznaczny_niepelny;242(3/4);242;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=242 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 242: PLIK;;
NISKI;KONICA MINOLTA;C 450;3;jednoznaczny_niepelny;262(3/4);262;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=262 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 262: PLIK;;
NISKI;KONICA MINOLTA;C 451;3;decyzja_duplikat;263(2/4) | 548(2/4);;RODZAJ, PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;KONICA MINOLTA;INEO+ 284;3;jednoznaczny_niepelny;74(3/4);74;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=74 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 74: PLIK;;
NISKI;KYOCERA;TASKalfa 356ci;3;jednoznaczny_niepelny;283(3/4);283;KOLOR;Moge hurtowo ustawic MASZYNA.ID_MODEL=283 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 283: KOLOR;;
NISKI;RICOH;3205;3;jednoznaczny_niepelny;306(3/4);306;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=306 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 306: PLIK;;
NISKI;RICOH;5210 SF;3;jednoznaczny_niepelny;449(3/4);449;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=449 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 449: PLIK;;
NISKI;RICOH;7502;3;jednoznaczny_niepelny;450(3/4);450;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=450 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 450: PLIK;;
NISKI;RICOH;DSM 735;3;jednoznaczny_niepelny;335(3/4);335;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=335 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 335: PLIK;;
NISKI;RICOH;MP 5054;3;decyzja_duplikat;484(4/4) | 595(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 8001;3;jednoznaczny_niepelny;370(3/4);370;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=370 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 370: PLIK;;
NISKI;TRIUMPH-ADLER;P-C3061;3;jednoznaczny_niepelny;515(3/4);515;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=515 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 515: PLIK;;
NISKI;CANON;6612;2;jednoznaczny_niepelny;17(3/4);17;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=17 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 17: PLIK;;
NISKI;CANON;C 5030I;2;jednoznaczny_niepelny;19(2/4);19;RODZAJ, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=19 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 19: RODZAJ, PLIK;;
NISKI;CANON;FORMULA DR- 6010C;2;jednoznaczny_niepelny;20(2/4);20;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=20 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 20: KOLOR, PLIK;;
NISKI;CANON;IPF 770;2;jednoznaczny_niepelny;23(3/4);23;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=23 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 23: PLIK;;
NISKI;CANON;IR 1022I;2;jednoznaczny_niepelny;26(3/4);26;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=26 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 26: PLIK;;
NISKI;CANON;IR 1133;2;jednoznaczny_niepelny;28(3/4);28;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=28 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 28: PLIK;;
NISKI;CANON;IR 2270;2;decyzja_duplikat;32(2/4) | 552(2/4);;RODZAJ, PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;CANON;IR 2800;2;jednoznaczny_niepelny;35(3/4);35;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=35 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 35: PLIK;;
NISKI;CANON;IR ADVANCE C5235I;2;jednoznaczny_niepelny;48(3/4);48;KOLOR;Moge hurtowo ustawic MASZYNA.ID_MODEL=48 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 48: KOLOR;;
NISKI;CANON;IR-ADV 525i;2;jednoznaczny_niepelny;51(3/4);51;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=51 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 51: PLIK;;
NISKI;EPSON;WF-869RD3TWFC;2;jednoznaczny_niepelny;92(3/4);92;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=92 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 92: PLIK;;
NISKI;EPSON;WF-C878R;2;jednoznaczny_niepelny;97(2/4);97;RODZAJ, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=97 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 97: RODZAJ, PLIK;;
NISKI;HP;500;2;jednoznaczny_niepelny;146(3/4);146;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=146 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 146: PLIK;;
NISKI;HP;LJ 2727MF;2;jednoznaczny_niepelny;160(3/4);160;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=160 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 160: PLIK;;
NISKI;KONICA MINOLTA;360;2;jednoznaczny_niepelny;239(3/4);239;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=239 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 239: PLIK;;
NISKI;KONICA MINOLTA;BIZNHUB 211;2;jednoznaczny_niepelny;244(2/4);244;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=244 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 244: KOLOR, PLIK;;
NISKI;KONICA MINOLTA;C 204;2;jednoznaczny_niepelny;246(2/4);246;RODZAJ, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=246 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 246: RODZAJ, PLIK;;
NISKI;KONICA MINOLTA;C 250;2;jednoznaczny_niepelny;252(3/4);252;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=252 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 252: PLIK;;
NISKI;KONICA MINOLTA;C 253;2;jednoznaczny_niepelny;254(3/4);254;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=254 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 254: PLIK;;
NISKI;KONICA MINOLTA;C 258;2;decyzja_duplikat;255(3/4) | 268(3/4);;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;KONICA MINOLTA;C 300;2;jednoznaczny_niepelny;256(3/4);256;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=256 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 256: PLIK;;
NISKI;KONICA MINOLTA;C 360;2;jednoznaczny_niepelny;261(3/4);261;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=261 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 261: PLIK;;
NISKI;KONICA MINOLTA;INEO 227;2;jednoznaczny_niepelny;71(3/4);71;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=71 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 71: PLIK;;
NISKI;KONICA MINOLTA;INEO+ 3351;2;jednoznaczny_niepelny;75(3/4);75;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=75 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 75: PLIK;;
NISKI;KONICA MINOLTA;INEO+ 6000L;2;jednoznaczny_niepelny;79(2/4);79;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=79 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 79: KOLOR, PLIK;;
NISKI;KYOCERA;3212i;2;jednoznaczny_niepelny;510(3/4);510;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=510 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 510: PLIK;;
NISKI;KYOCERA;M 2040;2;jednoznaczny_niepelny;269(2/4);269;RODZAJ, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=269 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 269: RODZAJ, PLIK;;
NISKI;KYOCERA;M 3040I;2;jednoznaczny_niepelny;279(3/4);279;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=279 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 279: PLIK;;
NISKI;KYOCERA;M3145idn;2;jednoznaczny_niepelny;30002520(3/4);30002520;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=30002520 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 30002520: PLIK;;
NISKI;KYOCERA;P 5532;2;jednoznaczny_niepelny;524(3/4);524;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=524 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 524: PLIK;;
NISKI;OCE;9400;2;jednoznaczny_niepelny;418(3/4);418;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=418 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 418: PLIK;;
NISKI;RICOH;2018;2;jednoznaczny_niepelny;429(3/4);429;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=429 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 429: PLIK;;
NISKI;RICOH;201n;2;jednoznaczny_niepelny;430(3/4);430;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=430 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 430: PLIK;;
NISKI;RICOH;2020;2;jednoznaczny_niepelny;431(3/4);431;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=431 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 431: PLIK;;
NISKI;RICOH;2022;2;jednoznaczny_niepelny;432(3/4);432;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=432 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 432: PLIK;;
NISKI;RICOH;220;2;jednoznaczny_niepelny;434(3/4);434;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=434 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 434: PLIK;;
NISKI;RICOH;2705;2;jednoznaczny_niepelny;305(3/4);305;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=305 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 305: PLIK;;
NISKI;RICOH;3025;2;jednoznaczny_niepelny;437(3/4);437;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=437 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 437: PLIK;;
NISKI;RICOH;5200s S;2;jednoznaczny_niepelny;447(3/4);447;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=447 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 447: PLIK;;
NISKI;RICOH;6002;2;jednoznaczny_niepelny;309(3/4);309;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=309 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 309: PLIK;;
NISKI;RICOH;D 422;2;jednoznaczny_niepelny;312(3/4);312;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=312 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 312: PLIK;;
NISKI;RICOH;IM 3000;2;decyzja_duplikat;536(3/4) | 540(3/4);;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 2014D;2;jednoznaczny_niepelny;343(3/4);343;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=343 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 343: PLIK;;
NISKI;RICOH;MP 2205;2;jednoznaczny_niepelny;345(3/4);345;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=345 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 345: PLIK;;
NISKI;RICOH;MP 2352;2;decyzja_duplikat;587(4/4) | 613(4/4) | 346(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
