priorytet;rodzina;model_podpis;duplikaty_w_model;id_model_kandydaci;proponowany_id_model;score_proponowanego;braki_proponowanego;niespojnosc_rodzaj_kolor;grupa_proponowana;rodzaj_proponowany;kolor_proponowany;plik_proponowany;maszyna_lacznie;maszyna_bez_id_model;maszyna_z_id_model;magazyn_seryjny_lacznie;magazyn_seryjny_bez_id_model;status_mastera;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_kanoniczny_id_model;uzupelnij_grupa;uzupelnij_rodzaj;uzupelnij_kolor;uzupelnij_plik;uwagi_uzytkownika
NISKI;RICOH;MP 3054;1;475(4/4);475;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;19;19;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;6005;1;310(3/4);310;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;18;18;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=310 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 310: PLIK;;;;;;
NISKI;RICOH;MP 2001;2;341(3/4), 611(3/4);341;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;18;18;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: PLIK.;;;;;;
NISKI;RICOH;MPC 4500;1;398(4/4);398;4/4;;;Druk;Kserokopiarka analogowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;17;17;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;KYOCERA;M 3550I;1;280(4/4);280;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/kyocera ecosys m3655idn.jpg;16;16;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;DSM 620D;2;324(4/4), 140(3/4);324;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.pnghttps://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.png;16;16;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MP 2553;3;351(4/4), 589(4/4), 615(4/4);351;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;16;16;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MP 2555;5;353(4/4), 541(4/4), 591(4/4), 617(4/4), 30002509(3/4);353;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;16;16;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;1305;1;300(3/4);300;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A4;NIE;;15;15;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=300 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 300: PLIK;;;;;;
NISKI;RICOH;MP 3010;2;355(3/4), 618(3/4);355;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;15;15;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
NISKI;KYOCERA;M 3655I;1;281(4/4);281;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/kyocera ecosys m3655idn.jpg;14;14;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;KYOCERA;P 3145;2;271(4/4), 561(4/4);271;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/ecosys_p3055dn.jpg;14;14;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MP 3554;2;593(4/4), 476(3/4);593;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;14;14;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;P 502;1;537(3/4);537;3/4;PLIK;;Druk;Drukarka laserowa A4;NIE;;14;14;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=537 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 537: PLIK;;;;;;
NISKI;CANON;IR 2520;1;33(3/4);33;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;13;13;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=33 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 33: PLIK;;;;;;
NISKI;RICOH;DSM 725;2;141(3/4), 331(3/4);141;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;13;13;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: PLIK.;;;;;;
NISKI;RICOH;MPC 2000;1;377(4/4);377;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;13;13;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;KONICA MINOLTA;INEO+ 25;1;73(4/4);73;4/4;;;Druk;Kserokopiarka cyfrowa A4;TAK;https://ksero-partner.com.pl/imgdev/konica_c25.png;12;12;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;DSM 632;1;327(3/4);327;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;12;12;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=327 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 327: PLIK;;;;;;
NISKI;RICOH;IMC 6000;2;469(4/4), 30002505(3/4);469;4/4;;;Druk;urządzenie wielofunkcyjne;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_im_c2000.png;12;12;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MP 3352;2;359(4/4), 620(4/4);359;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;12;12;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MP 6001;1;366(3/4);366;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;12;12;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=366 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 366: PLIK;;;;;;
NISKI;RICOH;MPC 4501;1;399(4/4);399;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;12;12;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;EPSON;WF-M5298;1;98(4/4);98;4/4;;;Druk;drukarka atramentowa;TAK;https://ksero-partner.com.pl/imgdev/EpsonWFM5298.jpg;11;11;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;4520;1;446(4/4);446;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/R_SP4510SF.jpg;11;11;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MP 4054;2;621(4/4), 362(3/4);621;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;11;11;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MPC 2051;1;382(4/4);382;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;11;11;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3300;1;393(4/4);393;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;11;11;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;CANON;3525I;1;13(3/4);13;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;10;10;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=13 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 13: PLIK;;;;;;
NISKI;RICOH;MP 4055;2;482(4/4), 594(4/4);482;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;10;10;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MPC 4000;1;397(4/4);397;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;10;10;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 4502;2;573(4/4), 497(2/4);573;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;10;10;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MPC 6004;1;535(3/4);535;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;;10;10;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=535 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 535: PLIK;;;;;;
NISKI;KONICA MINOLTA;C 3110;1;257(3/4);257;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A4 kolorowa;TAK;;9;9;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=257 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 257: PLIK;;;;;;
NISKI;RICOH;DSM 645;1;328(3/4);328;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;9;9;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=328 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 328: PLIK;;;;;;
NISKI;RICOH;DSM 675;1;330(3/4);330;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;9;9;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=330 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 330: PLIK;;;;;;
NISKI;RICOH;IM 2702;1;456(3/4);456;3/4;PLIK;;Druk;Drukarka laserowa A4;NIE;;9;9;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=456 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 456: PLIK;;;;;;
NISKI;RICOH;IMC 5500;2;542(4/4), 584(4/4);542;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_im_c2000.png;9;9;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MPC 2004 SP;1;402(4/4);402;4/4;;;Druk;Kserokopiarka cyfrowa A4 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;9;9;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3502;1;491(3/4);491;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;TAK;;9;9;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=491 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 491: PLIK;;;;;;
NISKI;RICOH;MPC 3504ex;1;493(4/4);493;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;9;9;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 407;2;496(3/4), 607(3/4);496;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mpc307.png;9;9;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
NISKI;EPSON;WF-M5690DWF;1;99(3/4);99;3/4;PLIK;;Druk;urządzenie wielofunkcyjne;TAK;;8;8;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=99 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 99: PLIK;;;;;;
NISKI;KYOCERA;FS-2020D;1;276(3/4);276;3/4;PLIK;;Druk;Drukarka laserowa A4;NIE;;8;8;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=276 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 276: PLIK;;;;;;
NISKI;RICOH;7505;1;451(3/4);451;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;8;8;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=451 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 451: PLIK;;;;;;
NISKI;RICOH;MP 4000;1;361(3/4);361;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;8;8;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=361 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 361: PLIK;;;;;;
NISKI;RICOH;MPC 5504;1;501(3/4);501;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;8;8;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=501 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 501: RODZAJ;;;;;;
NISKI;RICOH;MPC 6003;2;608(4/4), 503(3/4);608;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;8;8;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;EPSON;WF - 5690;1;87(3/4);87;3/4;PLIK;;Druk;urządzenie wielofunkcyjne;TAK;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=87 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 87: PLIK;;;;;;
NISKI;KONICA MINOLTA;C 252;1;253(3/4);253;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=253 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 253: PLIK;;;;;;
NISKI;KONICA MINOLTA;C 350;1;260(3/4);260;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;TAK;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=260 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 260: PLIK;;;;;;
NISKI;KYOCERA;4035I-MFP;1;523(3/4);523;3/4;PLIK;;Druk;Drukarka laserowa A4;NIE;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=523 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 523: PLIK;;;;;;
NISKI;RICOH;DSM 620;1;323(3/4);323;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=323 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 323: PLIK;;;;;;
NISKI;RICOH;DSM 660;1;329(3/4);329;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=329 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 329: PLIK;;;;;;
NISKI;RICOH;MP 4002;1;479(3/4);479;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;7;7;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=479 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 479: PLIK;;;;;;
NISKI;RICOH;MP 5055;1;485(4/4);485;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;7;7;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3003 SP;1;404(4/4);404;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;7;7;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;CANON;IR 1018;1;24(3/4);24;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=24 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 24: PLIK;;;;;;
NISKI;CANON;IR 2018;1;29(3/4);29;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=29 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 29: PLIK;;;;;;
NISKI;CANON;IR 4570;1;40(3/4);40;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=40 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 40: PLIK;;;;;;
NISKI;CANON;IR ADVANCE C2220I;1;46(4/4);46;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/irc3225i.jpg;6;6;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;EPSON;WF-C8690 DWF;1;95(2/4);95;2/4;KOLOR, PLIK;;Druk;urządzenie wielofunkcyjne;;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=95 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 95: KOLOR, PLIK;;;;;;
NISKI;KONICA MINOLTA;C 220;1;247(3/4);247;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=247 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 247: PLIK;;;;;;
NISKI;RICOH;DSM 730;1;332(3/4);332;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=332 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 332: PLIK;;;;;;
NISKI;RICOH;MP 2500;1;347(3/4);347;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=347 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 347: PLIK;;;;;;
NISKI;RICOH;MP 401;1;480(4/4);480;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_301.png;6;6;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MP 5500;1;365(3/4);365;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;6;6;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=365 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 365: PLIK;;;;;;
NISKI;RICOH;MPC 4504ex;1;499(4/4);499;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;6;6;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;CANON;3520I;1;12(3/4);12;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;5;5;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=12 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 12: PLIK;;;;;;
NISKI;CANON;6512;1;16(3/4);16;3/4;PLIK;;Druk;Kserokopiarka analogowa A4;NIE;;5;5;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=16 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 16: PLIK;;;;;;
NISKI;KONICA MINOLTA;C 224E;2;248(3/4), 549(3/4);248;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;;5;5;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: PLIK.;;;;;;
NISKI;KONICA MINOLTA;INEO+ 224E;1;72(3/4);72;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;;5;5;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=72 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 72: PLIK;;;;;;
NISKI;KYOCERA;2507ci;1;519(3/4);519;3/4;PLIK;;Druk;Drukarka laserowa A4;NIE;;5;5;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=519 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 519: PLIK;;;;;;
NISKI;RICOH;1018;1;425(3/4);425;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;5;5;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=425 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 425: PLIK;;;;;;
NISKI;RICOH;1505 / 1315;1;301(3/4);301;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;5;5;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=301 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 301: PLIK;;;;;;
